player_id,name,pos,fleaflicker_id,espn_id,yahoo_id,sleeper_id,team,actual
1531,DeVante Parker,WR,11170,2576623,28402,2319,NE,3.9000000000000004
745,Jakobi Meyers,WR,14949,3916433,32231,5947,LV,15.5
379,Kadarius Toney,WR,16251,4240600,33408,7606,KC,0.9
575,Jauan Jennings,WR,15751,3886598,32887,7049,SF,5.1
1719,Brandin Cooks,WR,10242,16731,27548,2197,DAL,3.7
1976,Travis Kelce,TE,9360,15847,26686,1466,KC,19.9
756,T.J. Hockenson,TE,14677,4036133,31840,5844,MIN,13.8
971,Mark Andrews,TE,13829,3116365,31056,5012,BAL,7.5
1164,Evan Engram,TE,12906,3051876,30136,4066,JAX,13.7
1187,George Kittle,TE,13023,3040151,30259,4217,SF,16.0
974,Dallas Goedert,TE,13813,3121023,31019,5022,PHI,9.100000000000001
1574,Darren Waller,TE,11261,2576925,28592,2505,NYG,5.0
812,Donald Parham,TE,15183,3912092,32456,6074,LAC,14.4
1352,Hunter Henry,TE,12088,3046439,29269,3214,NE,3.7
755,Noah Fant,TE,14665,4036131,31852,5857,SEA,8.100000000000001
1167,David Njoku,TE,12904,3123076,30142,4033,CLE,6.0
419,Kyle Pitts,TE,16256,4360248,33392,7553,ATL,8.700000000000001
586,Colby Parkinson,TE,15679,4242557,32803,6865,SEA,6.800000000000001
1354,Tyler Higbee,TE,12140,2573401,29344,3271,LAR,12.100000000000001
1168,Jonnu Smith,TE,12974,3054212,30213,4144,ATL,8.7
972,Mike Gesicki,TE,13845,3116164,31012,4993,NE,2.8
771,Josh Oliver,TE,14749,3921690,31901,5973,MIN,8.4
585,Adam Trautman,TE,15575,3911853,32775,6869,DEN,0.0
576,Juwan Johnson,TE,16036,3929645,33113,7002,NO,3.2
980,Hayden Hurst,TE,13774,3924365,30995,4973,CAR,2.1
442,Kylen Granson,TE,16340,4039160,33515,7602,IND,2.9
421,Pat Freiermuth,TE,16293,4361411,33443,7600,PIT,13.100000000000001
250,Trey McBride,TE,16895,4361307,34010,8130,ARI,1.2
761,Dawson Knox,TE,14734,3930086,31928,5906,BUF,2.1
266,Chigoziem Okonkwo,TE,16912,4360635,34099,8210,TEN,3.7
590,Harrison Bryant,TE,15644,4040774,32785,6850,CLE,0.4
258,Cade Otton,TE,16937,4243331,34062,8111,TB,2.6
1579,C.J. Uzomah,TE,11276,2574576,28545,2460,NYJ,1.9
255,Jake Ferguson,TE,16933,4242355,34085,8110,DAL,9.8
1979,Zach Ertz,TE,9376,15835,26658,1339,ARI,2.6
976,Durham Smythe,TE,13905,3052897,31093,5008,MIA,2.5
582,Cole Kmet,TE,15573,4258595,32713,6826,CHI,4.2
990,Dalton Schultz,TE,13853,3117256,31107,5001,HOU,1.9
975,Tyler Conklin,TE,13980,3915486,31220,5133,NYJ,5.6
306,Peyton Hendershot,TE,17417,4258248,34607,8197,DAL,1.3
427,Noah Gray,TE,16430,4240472,33550,7828,KC,1.9
1175,Gerald Everett,TE,12972,3918639,30157,4089,LAC,9.0
256,Connor Heyward,TE,16971,4241961,34163,8181,PIT,0.0
254,Isaiah Likely,TE,16927,4361050,34095,8131,BAL,3.0
1241,Taysom Hill,TE,13653,2468609,30614,4381,NO,3.1
